SUBPROG_COLLECTION,COUNTRY,SUBPROG,AREA,INST,SCODE,MEDIUM,LISTMED,LEVEL,YYYYMM,SPOOL,SUBST,LISTSUB,PRETRE,DETER,VALUE,UNIT,FLAGQUA,FLAGSTA
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201604,1,NH4N,DB,,SP,0.75,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201604,1,NO3N,DB,,IC,0.6,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201604,1,NTOT,DB,,IC,1.573,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201604,1,PH,DB,,TIE,5.9,,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201604,1,PREC,DB,,,17,mm,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201604,1,PTOT,DB,,SP,0.002,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201604,1,SO4S,DB,,IC,0.54,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201605,1,CA,DB,,AAF,0.19,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201605,1,CL,DB,,IC,0.4,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201605,1,COND,DB,,CN,1.76,mS/m,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201605,1,DOC,DB,,,7.6,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201605,1,K,DB,,AAF,0.86,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201605,1,MG,DB,,AAF,0.12,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201605,1,,DB,,AAF,0.37,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201605,1,NH4N,DB,,SP,1.07,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201605,1,NO3N,DB,,IC,0.4,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201605,1,NTOT,DB,,IC,1.986,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201605,1,PH,DB,,TIE,6.2,,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201605,1,PREC,DB,,,21,mm,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201605,1,PTOT,DB,,SP,0.103,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201605,1,SO4S,DB,,IC,0.41,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201606,1,CA,DB,,AAF,1.37,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201606,1,CL,DB,,IC,0.72,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201606,1,COND,DB,,CN,3.31,mS/m,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201606,1,DOC,DB,,,38.9,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201606,1,K,DB,,AAF,0.58,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201606,1,MG,DB,,AAF,0.25,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201606,1,,DB,,AAF,0.59,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201606,1,NH4N,DB,,SP,1.02,mg/l,,
